Post URL,Image URL,Likes,Comments,Caption,Date
https://www.instagram.com/p/DDzxVG7RmuD/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/470920420_931640885211441_5267568218255208764_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4Lm5mcmFtZV9jb3Zlcl9mcmFtZSJ9&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=p2uFVvL-0nwQ7kNvgFED0aB&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzM3OTg4Nzk4NjIwNzYxOQ%3D%3D.3-ccb7-5&oh=00_AYBBXs5k-hEYnN_J97Zoby-7a0tFcPE0uQqBLQaR2cOOxA&oe=676BE590&_nc_sid=8f1549,34461,96,Does anyone wanna win La Liga? 🙅‍♂️,2024-12-20 17:41:44
https://www.instagram.com/p/DDsEwlDNV0X/,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.29350-15/470684468_553822837415925_7089214890046289647_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=e2am0HJeKhIQ7kNvgErBs2I&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNTIxMzUzODgyNzQ1OTg2Mw%3D%3D.3-ccb7-5&oh=00_AYCPctT2WLtZ_KHsbL0_rJE-6uFvQ24vPsp9yFpoLjuVMw&oe=676BF13B&_nc_sid=8f1549,254884,1023,VÍNICIUS JR. WINS THE BEST MEN’S PLAYER 2024 🇧🇷🏆,2024-12-17 17:57:03
https://www.instagram.com/p/DDsClh3tkSF/,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.29350-15/470481750_1176662547439917_8617888059245472044_n.jpg?stp=dst-jpg_e35_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=BOi1TM0wz2MQ7kNvgFAH71F&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNTIwMzk4MzQwNjA4OTM0OQ%3D%3D.3-ccb7-5&oh=00_AYBQqpyAuBs7S5VLdixjFgh5pUdD4w1nO9ZQI3O4IRbTuQ&oe=676BE3A3&_nc_sid=8f1549,59311,63,AITANA BONMATÍ WINS THE BEST WOMEN’S PLAYER 2024 🇪🇸,2024-12-17 17:38:04
https://www.instagram.com/p/DD0W-dhxied/,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/470937596_1068356531756021_6425765124856305018_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4Lm5mcmFtZV9jb3Zlcl9mcmFtZSJ9&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=wMr8SMBzA4oQ7kNvgHwLu6Q&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzU0NTQ1NzQ3Mzg5MDIwNQ%3D%3D.3-ccb7-5&oh=00_AYDjrBxm5sa1V2L5GPmUYI9hNYbpEMNVTHDJTuB-O696oQ&oe=676BF6E1&_nc_sid=8f1549,3434,27,"Man City look like a completely defeated side 🫠

(w/ @lyesbouzidi10, @culturecams)",2024-12-20 23:10:55
https://www.instagram.com/p/DD0UOxrRUtE/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/470917064_1231370907934046_778651432410758219_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4Lm5mcmFtZV9jb3Zlcl9mcmFtZSJ9&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=VY0rsUS0EvoQ7kNvgGPgJ-A&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzUzMzM4NDQ4MDE0ODI5Mg%3D%3D.3-ccb7-5&oh=00_AYBuv7lxw-6hMM1jElQDSyxudT1uNunr582LqNe5RfHHPQ&oe=676C0A98&_nc_sid=8f1549,12598,24,"The current Atlético and Barcelona player Diego Forlán would love to have played with 🤝

Barcelona vs. Atlético watch party in Miami—link in our bio for more information 📱",2024-12-20 22:46:48
https://www.instagram.com/p/DD0IYzZRxDj/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/470953278_3601184533505843_8857791675524447723_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4Lm5mcmFtZV9jb3Zlcl9mcmFtZSJ9&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=111&_nc_ohc=nwo9ylbHUQIQ7kNvgF6wJIR&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzQ4MTI5Njk2MjM5MjI5MQ%3D%3D.3-ccb7-5&oh=00_AYDoBvbBmDFo_0m62tKmIdlI4sSgNyz0Jq7nzgvhvtKc0A&oe=676BEF5D&_nc_sid=8f1549,6163,72,"Cole Palmer is the reason why you shouldn’t sell to a rival 🙃

(w/ @culturecams, @lyesbouzidi10)",2024-12-20 21:03:33
https://www.instagram.com/p/DD0Akzms03v/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/470918021_18480553018048574_2438726913060556005_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjkweDIyOTQuc2RyLmY3NTc2MS5kZWZhdWx0X2NvdmVyX2ZyYW1lIn0&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=eWT8y-tduSMQ7kNvgEQ0feT&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzQ0NjkzNzQ0OTIyMTYxNQ%3D%3D.3-ccb7-5&oh=00_AYBOd6jtpCuFqx9jS2KQTdbxeyJGs6pLZNEcvh5AE4NvZg&oe=676BED7F&_nc_sid=8f1549,8074,166,"“We don’t have the players. It’s more difficult. I don’t have the feeling now.”

Pep Guardiola rules Man City out of challenging for the Premier League and Champions League in their current form 👀",2024-12-20 19:55:22
https://www.instagram.com/p/DDz7uhiRPN7/,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/470893929_27752529717728865_2226562771974565567_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi42NDB4MTEzNi5zZHIuZjcxODc4Lm5mcmFtZV9jb3Zlcl9mcmFtZSJ9&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=X0__slqGEtkQ7kNvgGKteIP&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzQyNTYxNTAwOTczOTY0Mw%3D%3D.3-ccb7-5&oh=00_AYAx_vAdy2xGj3NoIOErnnwdqDsMAPUlgyLty1Pk1VnazQ&oe=676BF54D&_nc_sid=8f1549,7901,229,"Which African team will go the furthest at the 2026 World Cup? 🌍

(w/ @milesaddy)",2024-12-20 19:13:33
https://www.instagram.com/p/DDz3_X-NZPX/,https://instagram.fsin14-2.fna.fbcdn.net/v/t39.30808-6/471169430_1206903814125855_4813164759491117180_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=shC2rhJYe6sQ7kNvgHsmQ24&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkAAAAA&ccb=7-5&ig_cache_key=MzUyNzQwOTE3MDY0NDM1MzY4NQ%3D%3D.3-ccb7-5&oh=00_AYBizuv8rZSDohaLI5ekUt2q-rTWbR-UykjbVbP3kprMow&oe=676BEFD9&_nc_sid=8f1549,41858,418,"What's next for Marcus Rahsford? (✍️ @nickakerman_) 

See the complete analysis in the link in our bio and the B/R App 📱",2024-12-20 18:39:24
https://www.instagram.com/p/DDzisnqNcWA/,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/470914239_18478976143060086_8193523212669073722_n.jpg?stp=dst-jpg_e15_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi43MjB4MTI4MC5zZHIuZjc1NzYxLmRlZmF1bHRfY292ZXJfZnJhbWUifQ&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=GCxJ4p8JdtoQ7kNvgFdj6fX&_nc_gid=e0dd6ba65b5c4017b94cd44c6b85e19d&edm=AEhyXUkBAAAA&ccb=7-5&ig_cache_key=MzUyNzMxNTUzMjk4MzY4MjQzMg%3D%3D.3-ccb7-5&oh=00_AYAIA3MiehAFUYjLjUYB4Z-fPNURE65rQM0w81XnEuKHew&oe=676BFB08&_nc_sid=8f1549,7463,153,"Rating Mikel Arteta’s performance at Arsenal after five years 📈 

(w/ @culturecams, @lyesbouzidi10)",2024-12-20 15:36:16
